username,name,url_main,url_user,exists,http_status
Юрий Zucker,Facebook,https://www.facebook.com/,,Illegal,
Юрий Zucker,DeviantART,https://deviantart.com,,Illegal,
Юрий Zucker,Wix,https://wix.com/,https://%D0%AE%D1%80%D0%B8%D0%B9%20Zucker.wix.com,Unknown,0
Юрий Zucker,Fandom,https://www.fandom.com/,https://www.fandom.com/u/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Unknown,403
Юрий Zucker,Kickstarter,https://www.kickstarter.com,https://www.kickstarter.com/profile/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Unknown,403
Юрий Zucker,Quora,https://www.quora.com/,https://www.quora.com/profile/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Unknown,403
Юрий Zucker,Tumblr,https://www.tumblr.com,https://www.tumblr.com/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Available,404
Юрий Zucker,StackOverflow,https://stackoverflow.com,https://stackoverflow.com/users/filter?search=%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Claimed,200
Юрий Zucker,Freepik,https://www.freepik.com,https://www.freepik.com/author/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Available,404
Юрий Zucker,CNET,https://www.cnet.com,https://www.cnet.com/profiles/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker/,Unknown,403
Юрий Zucker,Bit.ly,https://bit.ly,https://bit.ly/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Available,404
Юрий Zucker,WordPress,https://wordpress.com,,Illegal,
Юрий Zucker,SoundCloud,https://soundcloud.com/,https://soundcloud.com/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Available,404
Юрий Zucker,Telegram,https://t.me/,,Illegal,
Юрий Zucker,linktr.ee,https://linktr.ee,https://linktr.ee/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Unknown,403
Юрий Zucker,Scribd,https://www.scribd.com/,https://www.scribd.com/%D0%AE%D1%80%D0%B8%D0%B9%20Zucker,Unknown,200
Юрий Zucker,OK,https://ok.ru/,,Illegal,
